20260920,御林湾,50000,450.5-1353(万/套)
20260920,金茂北京国际社区,18000,100-105(万/套)
20260920,京投发展森屿文华,75000,551-1040(万/套)
20260920,北京岭秀,15000,340(万/套)
20260920,水岸壹号,45000,779.5-1000(万/套)
20260920,尚峯壹号,15000,201-251(万/套)
20260920,运河铭著,38000,477.5-615(万/套)
20260920,万年广阳郡九号,45000,755-999.5(万/套)
20260920,御汤山熙园,38000,2250-7300(万/套)
20260920,檀谷,38000,1060(万/套)
20260920,韩建·观山源墅,32000,880-1075(万/套)
20260920,玺源台,150000,1541.5-2250(万/套)
20260920,首城汇景墅,25000,650-730(万/套)
20260920,水墨林溪,13000,119-190.5(万/套)
20260920,燕西华府,40000,413(万/套)
20260920,一瓶八斗,80000,1550-2965(万/套)
20260920,鲁能·格拉斯小镇,55000,1333-3725(万/套)
20260920,兴创荣墅,25000,405-1700(万/套)
20260920,温哥华森林,40000,1125-1225(万/套)
20260920,丽都壹号,68000,1360(万/套)
20260920,北辰红橡墅,30000,1365-2379(万/套)
20260920,燕西华府,41000,1334-3500(万/套)
20260920,福景苑,80000,1543-2137(万/套)
20260920,玺萌壹號院,90000,4015-4200(万/套)
20260920,金隅上城郡,36000,810-930(万/套)
20260920,万科弗农小镇,25000,249.5-650(万/套)
20260920,保利佲悦大都汇,63000,0
20260920,顺鑫颐和天璟,27000,735(万/套)
20260920,顺鑫颐和天璟,24000,850-875(万/套)
20260920,北京城建北京合院,34000,880-1300(万/套)
