20241012,福田区,景田,整租·景田西小区,3室2厅,87.00平米,6200
20241012,福田区,景田,整租·景西大厦,3室2厅,91.08平米,6800
20241012,福田区,景田,独栋·泊寓,泊寓富瑞斯福田店,8间在租,12000
20241012,福田区,景田,整租·华富大厦,2室1厅,69.86平米,5600
20241012,福田区,景田,独栋·安居乐寓,景田店,29.21平米,2574-2714
20241012,福田区,景田,整租·TT国际公寓,1室0厅,28.77平米,4200
20241012,福田区,景田,整租·市政大院,2室2厅,74.00平米,5500
20241012,福田区,景田,独栋·魔方公寓,深圳景田店,40.00平米,4280
20241012,福田区,景田,整租·香蜜新村,2室1厅,68.00平米,5200
20241012,福田区,景田,独栋·安居乐寓,景田店,30.53平米,2970-3015
20241012,福田区,景田,整租·第壹世界广场,3室1厅,128.00平米,11800
20241012,福田区,景田,整租·时代华庭,3室2厅,98.00平米,9500
20241012,福田区,景田,独栋·安居乐寓,景田店,7间在租,2880-3240
20241012,福田区,景田,整租·景田北村,2室1厅,35.00平米,4000
20241012,福田区,景田,独栋·安居乐寓,景田店,30.53平米,3145-3240
20241012,福田区,景田,整租·万托家园,2室2厅,62.00平米,6500
20241012,福田区,景田,独栋·安居乐寓,景田店,16.81平米,2025-2115
20241012,福田区,景田,合租·润丰园,5居室,15.00平米,2100
20241012,福田区,景田,独栋·安居乐寓,景田店,21.01平米,2380
20241012,福田区,景田,整租·业城阁,3室2厅,106.00平米,9500
20241012,福田区,景田,独栋·安居乐寓,景田店,15.38平米,1989-2750
20241012,福田区,景田,整租·富霖花园,3室2厅,127.00平米,10800
20241012,福田区,景田,独栋·安居乐寓,景田店,23.73平米,2521
20241012,福田区,景田,合租·东景花园,7居室,12.00平米,1980
20241012,福田区,景田,独栋·安居乐寓,景田店,19.93平米,2250-2340
20241012,福田区,景田,独栋·安居乐寓,景田店,27.52平米,2691-3015
20241012,福田区,景田,独栋·安居乐寓,景田店,23.87平米,2750
20241012,福田区,景田,独栋·安居乐寓,景田店,21.17平米,3330-3650
20241012,福田区,景田,独栋·安居乐寓,景田店,7间在租,2016-2376
20241012,福田区,景田,独栋·安居乐寓,景田店,18.95平米,2280-2430
20241012,福田区,景田,独栋·安居乐寓,景田店,27.52平米,2457-2613
20241012,福田区,景田,独栋·安居乐寓,景田店,17.29平米,2250-2340
