20260924,中信西关海御花园,45000,1855(万/套)
20260924,东方名都,19000,200-348(万/套)
20260924,新天半山墅,48000,4200(万/套)
20260924,广州敏捷绿湖首府,8500,62-92.5(万/套)
20260924,顺欣花园,13200,117.5-185.5(万/套)
20260924,中森茗苑,11800,104(万/套)
20260924,新鸿基御华园,11000,90-160(万/套)
20260924,霍英东集团·南天名苑,90000,815-7057(万/套)
20260924,卓粤卓雅名苑,14500,120-180(万/套)
20260924,科城山庄峻森园,41000,530-670(万/套)
20260924,珠江国际城,9800,82.5-152.5(万/套)
20260924,富雅都市华庭,13800,65-220(万/套)
20260924,致岭假日花园,11500,120-140(万/套)
20260924,尚东阳光雅苑,14000,149-157.5(万/套)
20260924,南沙金茂湾,40000,552(万/套)
20260924,臻尚苑,28000,269-330(万/套)
20260924,大城云山,8500,122.5-200(万/套)
20260924,江源半岛花园,48000,360-2300(万/套)
20260924,惠百氏广场,12300,96.5-200.5(万/套)
20260924,仁安花园,10000,100-110(万/套)
